"freq"	"ch 1"
687.0	-156.55
688.0	-156.31
689.0	-155.46
690.0	-150.42
691.0	-148.48
692.0	-151.05
693.0	-149.81
694.0	-146.46
695.0	-149.85
696.0	-152.22
697.0	-148.7
698.0	-149.94
699.0	-151.52
700.0	-156.25
701.0	-150.43
702.0	-148.15
703.0	-150.43
704.0	-153.2
705.0	-173.46
706.0	-148.43
707.0	-149.7
708.0	-150.49
709.0	-145.89
710.0	-152.73
711.0	-151.8
712.0	-154.23
713.0	-148.68
714.0	-148.08
715.0	-153.82
716.0	-164.11
717.0	-152.8
718.0	-147.05
719.0	-150.65
720.0	-165.68
721.0	-156.53
722.0	-155.5
723.0	-159.98
724.0	-159.52
725.0	-160.38
726.0	-152.65
727.0	-153.57
728.0	-156.65
729.0	-144.52
730.0	-144.29
731.0	-149.79
732.0	-157.67
733.0	-151.19
734.0	-149.41
735.0	-155.72
736.0	-155.13
737.0	-151.81
738.0	-156.37
739.0	-161.63
740.0	-156.49
741.0	-156.24
742.0	-163.27
743.0	-152.5
744.0	-154.71
745.0	-153.79
746.0	-161.57
747.0	-150.02
748.0	-155.95
749.0	-153.79
750.0	-155.28
751.0	-162.91
752.0	-156.44
753.0	-163.86
754.0	-149.58
755.0	-149.55
756.0	-150.98
757.0	-149.6
758.0	-156.28
759.0	-165.22
760.0	-156.71
761.0	-149.92
762.0	-150.75
763.0	-156.17
764.0	-155.45
765.0	-146.48
766.0	-147.63
767.0	-154.38
768.0	-162.3
769.0	-151.01
770.0	-149.21
771.0	-149.92
772.0	-155.77
773.0	-154.7
774.0	-150.82
775.0	-146.08
776.0	-153.12
777.0	-158.6
778.0	-157.52
779.0	-160.17
780.0	-155.37
781.0	-151.39
782.0	-146.93
783.0	-146.48
784.0	-147.87
785.0	-147.98
786.0	-153.61
787.0	-150.53
788.0	-152.62
789.0	-149.39
790.0	-152.3
791.0	-170.13
792.0	-150.78
793.0	-151.87
794.0	-156.86
795.0	-153.18
796.0	-150.96
797.0	-154.28
798.0	-147.98
799.0	-149.98
800.0	-166.98
801.0	-153.55
802.0	-151.74
803.0	-146.16
804.0	-147.51
805.0	-161.16
806.0	-157.34
807.0	-160.29
808.0	-154.24
809.0	-157.17
810.0	-158.61
811.0	-152.61
812.0	-158.21
813.0	-158.42
814.0	-152.22
815.0	-152.45
816.0	-152.72
817.0	-149.87
818.0	-149.05
819.0	-149.89
820.0	-162.43
821.0	-154.88
822.0	-151.59
823.0	-159.88
824.0	-148.83
825.0	-151.59
826.0	-158.46
827.0	-160.77
828.0	-175.08
829.0	-163.37
830.0	-155.21
831.0	-151.25
832.0	-148.7
833.0	-156.47
834.0	-147.46
835.0	-145.18
836.0	-149.3
837.0	-164.41
838.0	-150.76
839.0	-158.13
840.0	-154.12
841.0	-156.54
842.0	-153.21
843.0	-160.35
844.0	-148.31
845.0	-147.29
846.0	-153.31
847.0	-159.26
848.0	-151.17
849.0	-149.12
850.0	-155.32
851.0	-155.59
852.0	-153.36
853.0	-154.17
854.0	-150.89
855.0	-157.16
856.0	-151.62
857.0	-148.01
858.0	-152.26
859.0	-152.74
860.0	-152.63
861.0	-164.0
862.0	-159.41
863.0	-152.26
864.0	-150.53
865.0	-160.41
866.0	-145.58
867.0	-147.0
868.0	-148.98
869.0	-146.9
870.0	-159.15
871.0	-150.52
872.0	-147.27
873.0	-148.86
874.0	-153.81
875.0	-154.11
876.0	-155.0
877.0	-154.96
878.0	-160.73
879.0	-155.54
880.0	-148.09
881.0	-146.57
882.0	-150.55
883.0	-151.16
884.0	-146.8
885.0	-153.11
886.0	-155.81
887.0	-152.08
888.0	-152.6
889.0	-149.33
890.0	-153.45
891.0	-148.68
892.0	-150.0
893.0	-156.3
894.0	-157.87
895.0	-153.83
896.0	-151.19
897.0	-151.02
898.0	-153.84
899.0	-155.97
900.0	-167.44
901.0	-159.09
902.0	-153.64
903.0	-152.82
904.0	-152.22
905.0	-149.59
906.0	-156.35
907.0	-155.92
908.0	-156.08
909.0	-160.67
910.0	-150.03
911.0	-150.51
912.0	-160.59
913.0	-153.18
914.0	-148.7
915.0	-151.13
916.0	-150.95
